repeat	subject_type	subject_id	source_rich_table	smpl	org	genomes	iter	rank	TAREAN_annotation	cons_len	size_pct	pdiv_mean	pdiv_median	pdiv_q05	pdiv_q95
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=2|ORIG=CL156_TR_1_x_152nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv	KA2	Aegilops_sharonesis		1	2	Putative satellites (low confidence)	152	0.07	5.709090909090909	3.1	2.16	13.98
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=2|ORIG=CL164_TR_1_x_90nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv	KA2	Aegilops_sharonesis		1	2	Putative satellites (low confidence)	90	0.09	7.915909090909091	7.2	0.0	19.455
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=2|ORIG=CL173_TR_1_x_326nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv	KA2	Aegilops_sharonesis		1	2	Putative satellites (low confidence)	326	0.06	7.617241379310345	8.0	0.8	13.899999999999997
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv	KA2	Aegilops_sharonesis		2	1	Putative satellites (high confidence)	118	2.24	9.400714285714283	8.7	3.895000000000001	17.3
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL2_TR_1_x_376nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv	KA2	Aegilops_sharonesis		2	1	Putative satellites (high confidence)	376	0.05	2.965217391304348	3.3	0.8500000000000001	5.58
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL57_TR_1_x_44nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv	KA2	Aegilops_sharonesis		2	1	Putative satellites (high confidence)	44	0.05	5.630434782608695	4.8	0.2400000000000002	11.209999999999996
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL5_TR_1_x_662nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv	KA2	Aegilops_sharonesis		2	1	Putative satellites (high confidence)	662	0.04	7.125	5.75	3.27	14.505000000000008
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=3|RANK=1|ORIG=CL1_TR_1_x_118nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv	KA2	Aegilops_sharonesis		3	1	Putative satellites (high confidence)	118	0.88	10.747272727272728	10.6	4.680000000000001	17.609999999999992
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=3|RANK=1|ORIG=CL24_TR_1_x_44nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv	KA2	Aegilops_sharonesis		3	1	Putative satellites (high confidence)	44	0.04	8.68421052631579	7.0	3.02	13.829999999999997
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=3|RANK=1|ORIG=CL2_TR_1_x_376nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv	KA2	Aegilops_sharonesis		3	1	Putative satellites (high confidence)	376	0.11	2.955555555555556	2.7	0.0	6.504999999999999
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=3|RANK=2|ORIG=CL3_TR_1_x_663nt	sample	KA2	projects/triticeae_F21FTSEUHT1241/samples/KA2/post_tarean/satminer/report/rich_table.tsv	KA2	Aegilops_sharonesis		3	2	Putative satellites (low confidence)	663	0.07	7.376470588235295	5.85	1.7	21.08
